year,hour,day,severity_kabco,lighting,alcohol,pedestrian,pedalcycle,county,city,street,lat,lon
2016,14,Saturday,B,Daylight,0,1,0,Rio Arriba,Espanola,Paseo De Onate,35.99639,-106.08402
2016,16,Saturday,B,Daylight,0,1,0,Sandoval,Pena Blanca,Callie Esquela Vieija,35.57461,-106.33959
2016,8,Friday,B,Daylight,0,0,1,Los Alamos,,Pajarito Rd,35.82622,-106.23197
2016,7,Sunday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Richards Ave,35.62785,-106.00061
2016,11,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Rodeo Rd,35.63891,-106.01734
2016,12,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.64958,-106.00102
2016,10,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.66034,-105.98173
2016,6,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Paseo De Peralta,35.69227,-105.94734
2016,23,Tuesday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.65591,-105.99055
2016,13,Thursday,C,Daylight,0,1,0,Santa Fe,Santa Fe,West San Francisco,35.68699,-105.93812
2016,18,Monday,B,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,Richard St,35.65404,-106.00092
2016,21,Tuesday,B,Dark-Not Lighted,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.65591,-105.99055
2016,14,Saturday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Don Diego Ave,35.67331,-105.94847
2016,7,Thursday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Cordova Ave Ne,35.67448,-105.95597
2016,22,Monday,C,Dark-Lighted,1,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.65736,-105.98768
2016,19,Thursday,B,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,St Michaels Dr,35.65952,-105.9738
2016,14,Friday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Paseo De Peralta,35.68156,-105.93806
2016,18,Sunday,C,Dark-Lighted,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.667,-105.9697
2016,22,Monday,A,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,I 25 South-Bd Fw,35.60718,-106.03308
2016,17,Tuesday,B,Dusk,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.63029,-106.02274
2016,16,Tuesday,A,Daylight,0,0,1,Santa Fe,Santa Fe,Camino Cruz Blanca,35.66986,-105.90387
2016,17,Thursday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Cordova Rd,35.67397,-105.95274
2016,23,Friday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.68017,-105.94846
2016,12,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,1600 Saint Michaels Drive,35.66033,-105.9755
2016,8,Wednesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Airport Rd,35.63605,-106.04248
2016,19,Tuesday,B,Dark-Not Lighted,1,1,0,Rio Arriba,Espanola,Paseo De Onate,35.99717,-106.08445
2016,15,Monday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Rd,35.64231,-106.01269
2016,10,Wednesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,5Th St,35.66514,-105.97238
2016,20,Friday,A,Dusk,0,0,1,Santa Fe,Santa Fe,Third Street,35.66298,-105.96671
2016,17,Wednesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Guadalupe Ave,35.68028,-105.94807
2016,15,Saturday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Buckman Rd,35.70174,-105.96983
2016,17,Tuesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Paseo De Peralta,35.68156,-105.93908
2016,8,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.63891,-106.01734
2016,16,Wednesday,C,Daylight,0,1,0,Santa Fe,Santa Fe,San Mateo Rd,35.66132,-105.96332
2016,22,Friday,C,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Cerrillos Rd,35.65336,-105.99489
